Program,Category,Sub-Category,Item,Sub-Item,Tagging,Date Received,Location,Lifespan,Warranty Expires,Maintenace
TVL,Agricultural Crops Production (NC II),,AUTO-VOLTAGE REGULATOR (AVR),,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Basket,,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Budding Knife,,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Cabinet Design 1 (Storage/tool cabinet),,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,"Calculator, Scientific",,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Grass cutter,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Hand Tractor,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Hand trowel ,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Hedge Shears,,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Hole digger,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Knapsack Sprayer,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Laptop computer,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Light Hoe,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Petri Dish,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Pick Mattock,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Plow,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Power Sprayer,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Printer,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Pruning Saw with Pole,,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Pruning Shears,,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Rake,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,"Scissors, 8 inches",,Per Box / Set,,,,,
TVL,Agricultural Crops Production (NC II),,Shovel,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Smart TV,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Soil Moisture and pH Meter,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Sprinklers,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Step Ladder,,Per Item,,,,,
TVL,Agricultural Crops Production (NC II),,Wheel Barrow,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Beef Cattle,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Buck (Male Goat),,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Carabao,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Chisel, Wood 1/2""",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Claw Hammer, 16 oz",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Combination Pliers, 8"" Insulated",,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Dairy Cattle,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Dairy Goat,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Double boiler, 2 liters",,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Electric Disbudder,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Electric Shearer,,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Feeding Trough,,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Fire Extinguisher (with contents),,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Foot Bath,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Forage Chopper Shredder,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Garden Hose,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Handsaw Cross Cut,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Hoe,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Hoof Grinder With Accessories,,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Hoof Trimmer,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Knife Cutter,,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Meat-Type Goat,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Ram (Male Sheep),,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Refrigerator, 7 cu. ft.",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Sheep (Ewe),,Consumable / Expendable Items,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Shovel,,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Sickle,,Per Box / Set,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Try Square, 12""",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Water Tank, 2000 Liters Capacity",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Weighing scale, digital 1000-kilogram capacity",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,"Weighing scale, digital 200-kilogram capacity",,Per Item,,,,,
TVL,Animal Production (Large Ruminants) (NC II),,Wheelbarrow,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,"Claw Hammer, 16 oz",,Per Box / Set,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Debeaker,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Egg Grader (Single Egg Weighing Scale ),,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Feed Bin,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Feed Cart,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Generator Set,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Hover,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Infrared Gas Brooder,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Knapsack Sprayer,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Layer Cages,,Per Box / Set,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Power Sprayer,,Per Box / Set,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Shovel,,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Syringes and Needle Set,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Weighing scale 10 kilogram (dial type),,Per Item,,,,,
TVL,Animal Production (Poultry-Chicken) (NC II),,Wheelbarrow,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Catheter,,Per Box / Set,,,,,
TVL,Animal Production (Swine) (NC II),,Chair,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Compound Microscope,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Digital Camera,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Dryer Sterilizer,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Fire Extinguisher (with contents),,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,First Aid Kit,,Per Box / Set,,,,,
TVL,Animal Production (Swine) (NC II),,Generator Set,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,"Gloves, Rubber (15 mils)",,Consumable / Expendable Items,,,,,
TVL,Animal Production (Swine) (NC II),,Laptop computer,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Printer,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Protective Personal Equipt /Lab. Gown,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Protective Personal Equipt./Scrub Suits,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Protective Personal Equipt/Rubber Boots,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,"Refrigerator, 7 cu. ft.",,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Sand Bag,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Swine) (NC II),,Semen Transport Box,,Consumable / Expendable Items,,,,,
TVL,Animal Production (Swine) (NC II),,Shovel,,Per Box / Set,,,,,
TVL,Animal Production (Swine) (NC II),,Sow Dummy,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Table,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,Training Bag,,Per Item,,,,,
TVL,Animal Production (Swine) (NC II),,White Board,,Per Item,,,,,
TVL,Animation NC II,,Animation Disc with Light Box Set,,Per Item,,,,,
TVL,Animation NC II,,Eraser,,Consumable / Expendable Items,,,,,
